Semilla_particion,Fold,Metodo,Cantidad_modelos,RMSE
7,1,Individual_2026,1,25126.232226319036
7,1,Individual_42,1,31226.495946960295
7,1,Individual_31415,1,24997.845618310286
7,1,Individual_2718,1,24437.65397703582
7,1,Individual_7,1,24293.93050964422
7,1,Individual_promedio,1,26016.431655653934
7,1,Ensemble_1,1,25126.232226319036
7,1,Ensemble_3,3,24729.125953453757
7,1,Ensemble_5,5,23566.126795412365
7,2,Individual_2026,1,31977.11857863402
7,2,Individual_42,1,33165.02493432762
7,2,Individual_31415,1,33319.22427308258
7,2,Individual_2718,1,33429.55391302347
7,2,Individual_7,1,32814.49507661576
7,2,Individual_promedio,1,32941.083355136696
7,2,Ensemble_1,1,31977.11857863402
7,2,Ensemble_3,3,31843.190838017053
7,2,Ensemble_5,5,32031.42556439024
7,3,Individual_2026,1,19101.378631059124
7,3,Individual_42,1,21242.468069867045
7,3,Individual_31415,1,24113.053860462605
7,3,Individual_2718,1,26932.30751889275
7,3,Individual_7,1,20203.765056679003
7,3,Individual_promedio,1,22318.594627392107
7,3,Ensemble_1,1,19101.378631059124
7,3,Ensemble_3,3,20829.118378887604
7,3,Ensemble_5,5,21517.238330125532
7,4,Individual_2026,1,25580.713188230882
7,4,Individual_42,1,23289.727660171848
7,4,Individual_31415,1,24198.000813798004
7,4,Individual_2718,1,24576.819268094216
7,4,Individual_7,1,24367.12609465574
7,4,Individual_promedio,1,24402.47740499014
7,4,Ensemble_1,1,25580.713188230882
7,4,Ensemble_3,3,23997.598699353915
7,4,Ensemble_5,5,23954.562289129924
42,1,Individual_2026,1,23272.900541827898
42,1,Individual_42,1,23359.235983251892
42,1,Individual_31415,1,22604.440298603433
42,1,Individual_2718,1,23735.671494769682
42,1,Individual_7,1,21982.44971634904
42,1,Individual_promedio,1,22990.93960696039
42,1,Ensemble_1,1,23272.900541827898
42,1,Ensemble_3,3,22088.7300758384
42,1,Ensemble_5,5,21870.40883095079
42,2,Individual_2026,1,33040.50206288829
42,2,Individual_42,1,33157.750974243405
42,2,Individual_31415,1,32653.188268594426
42,2,Individual_2718,1,33298.39057071732
42,2,Individual_7,1,33264.90220292323
42,2,Individual_promedio,1,33082.946815873336
42,2,Ensemble_1,1,33040.50206288829
42,2,Ensemble_3,3,32548.86387380578
42,2,Ensemble_5,5,32675.777488524604
42,3,Individual_2026,1,25115.9114334395
42,3,Individual_42,1,25005.31490374799
42,3,Individual_31415,1,24487.98068615847
42,3,Individual_2718,1,25769.28678716645
42,3,Individual_7,1,25845.91272322902
42,3,Individual_promedio,1,25244.881306748284
42,3,Ensemble_1,1,25115.9114334395
42,3,Ensemble_3,3,24457.609991778725
42,3,Ensemble_5,5,24835.663886225127
42,4,Individual_2026,1,22515.035555064052
42,4,Individual_42,1,20267.79812711519
42,4,Individual_31415,1,18815.92543281531
42,4,Individual_2718,1,20980.72631435092
42,4,Individual_7,1,21196.303992646728
42,4,Individual_promedio,1,20755.157884398443
42,4,Ensemble_1,1,22515.035555064052
42,4,Ensemble_3,3,19074.22910549809
42,4,Ensemble_5,5,19152.930915671346
2026,1,Individual_2026,1,18786.764607761987
2026,1,Individual_42,1,22032.224482122474
2026,1,Individual_31415,1,20318.22833403557
2026,1,Individual_2718,1,21331.02235030418
2026,1,Individual_7,1,19223.70418775016
2026,1,Individual_promedio,1,20338.388792394875
2026,1,Ensemble_1,1,18786.764607761987
2026,1,Ensemble_3,3,18372.10507465977
2026,1,Ensemble_5,5,18599.226639975102
2026,2,Individual_2026,1,24640.182089663547
2026,2,Individual_42,1,23978.509083628716
2026,2,Individual_31415,1,26427.059340626085
2026,2,Individual_2718,1,25568.57811615386
2026,2,Individual_7,1,25706.67002309723
2026,2,Individual_promedio,1,25264.19973063389
2026,2,Ensemble_1,1,24640.182089663547
2026,2,Ensemble_3,3,24612.175961093875
2026,2,Ensemble_5,5,24601.034925316326
2026,3,Individual_2026,1,27351.47067100303
2026,3,Individual_42,1,31532.498202581275
2026,3,Individual_31415,1,29105.895262196416
2026,3,Individual_2718,1,27202.19438577207
2026,3,Individual_7,1,28225.00538683679
2026,3,Individual_promedio,1,28683.41278167792
2026,3,Ensemble_1,1,27351.47067100303
2026,3,Ensemble_3,3,28677.9147695562
2026,3,Ensemble_5,5,27897.200300226352
2026,4,Individual_2026,1,24947.06826702495
2026,4,Individual_42,1,23789.974495611226
2026,4,Individual_31415,1,23394.574490640563
2026,4,Individual_2718,1,26185.30202849325
2026,4,Individual_7,1,24356.60098738204
2026,4,Individual_promedio,1,24534.704053830406
2026,4,Ensemble_1,1,24947.06826702495
2026,4,Ensemble_3,3,23623.171948425617
2026,4,Ensemble_5,5,24106.85071558729
2718,1,Individual_2026,1,25395.415487971295
2718,1,Individual_42,1,28721.294160694324
2718,1,Individual_31415,1,34825.23468210653
2718,1,Individual_2718,1,26898.284944680403
2718,1,Individual_7,1,26255.89349561152
