Configuracion,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",16389.411957926415,49399.00309802414,32534.585711413696,33009.59114009773,53.25,"[30247.3476, 26237.6707, 44315.5456, 96795.4485]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",16468.504503727738,49395.22588982139,32506.13439835009,32926.72138609365,53.25,"[30244.5886, 26269.6164, 44315.3681, 96751.3305]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",31385.533194953998,53679.54525285715,30933.780034345535,22294.01205790315,65.0,"[36757.0513, 29966.6361, 49539.0642, 98455.4294]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",31411.506085998015,53562.538236265726,30717.38446881894,22151.03215026771,65.0,"[36742.5869, 29964.2376, 49542.9103, 98000.4181]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",16250.844878962924,45106.68061809482,25975.84156577429,28855.835739131893,26.0,"[29499.519, 26856.5567, 41125.7009, 82944.9459]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",16512.56567739934,45267.01483246728,25901.53764319632,28754.449155067938,31.25,"[29498.6113, 27394.8391, 41125.8224, 83048.7865]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",28966.965277160267,50015.2837018244,21679.25376430957,21048.318424664136,72.75,"[35646.2243, 31776.8031, 53295.378, 79342.7294]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",30478.272274211497,50804.60471140129,20681.28958042779,20326.332437189794,90.75,"[36094.6699, 34820.0548, 53109.9242, 79193.7699]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",18017.98358727323,50708.39009604846,36473.33159824745,32690.40650877523,47.25,"[28326.227, 25927.6941, 44593.8603, 103985.7789]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",18018.427465070974,50689.71680499578,36439.64614847032,32671.28933992481,47.25,"[28324.8971, 25926.3292, 44592.4066, 103915.2343]"
