Configuracion,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",14345.364940049567,23931.371408862844,3637.6783250625335,9586.006468813277,69.75,"[18786.7646, 24640.1821, 27351.4707, 24947.0683]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",14477.199086799672,24032.678547265245,3449.6469560937094,9555.479460465573,68.25,"[19187.6687, 24642.9219, 27351.5298, 24948.5938]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",14791.151700429149,24042.264818948155,3042.560634790549,9251.113118519006,41.5,"[20157.5319, 25997.8324, 26877.0469, 23136.6481]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",14791.177419554791,24043.465336078974,3040.911050804182,9252.287916524183,41.5,"[20161.3996, 25999.5858, 26875.9227, 23136.9533]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",15378.509406952593,26670.34636981541,2576.6272647907317,11291.836962862815,33.75,"[29757.1659, 24894.1798, 27800.3624, 24229.6774]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",15441.754613854095,26695.21437207302,2604.930463103608,11253.459758218925,33.75,"[29824.7439, 24914.9262, 27821.0633, 24220.1241]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",18586.222963832195,27114.598212730725,2392.9683968308145,8528.37524889853,95.0,"[26117.2371, 28384.854, 29673.8306, 24282.4711]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",18610.43963923047,27121.57356778332,2396.924728396839,8511.133928552852,95.0,"[26129.0529, 28399.8318, 29678.3233, 24279.0863]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",17173.939338999087,27401.099646913433,2975.1745334865614,10227.160307914346,56.25,"[25756.5184, 27608.3552, 31494.2577, 24745.2673]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",17202.01865054813,27411.251906326317,2979.4382157014547,10209.233255778188,56.25,"[25769.2045, 27630.6467, 31504.4957, 24740.6607]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",22840.33272803155,29010.40087032058,4848.302158233364,6170.06814228903,66.5,"[27972.0055, 31151.1108, 34127.1201, 22791.3671]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",22895.181128214324,29048.84833576873,4895.984508476774,6153.667207554405,66.5,"[27993.8376, 31282.7872, 34165.2377, 22753.5309]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",14753.093937243499,29627.509828059687,7816.544007403066,14874.415890816188,47.75,"[40765.934, 23906.8876, 29350.5609, 24486.6568]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",14520.325946289418,29935.02406983275,7660.643862202326,15414.698123543332,54.75,"[40906.1627, 23904.8075, 29351.4446, 25577.6815]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",25243.167727603606,30939.32531755005,8450.70951755893,5696.157589946444,114.0,"[26593.1955, 41950.7866, 32700.2354, 22513.0838]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",25295.714537062104,30967.949962885068,8480.68519448833,5672.235425822964,114.0,"[26623.611, 42008.6488, 32746.9102, 22492.6298]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",29445.42232262379,32632.753746555358,6624.311803772551,3187.3314239315696,111.25,"[27665.5831, 38070.4788, 38614.0742, 26180.879]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",29454.10956232519,32635.07411433343,6626.532590282727,3180.9645520082413,111.25,"[27664.9854, 38076.8325, 38616.4352, 26182.0434]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",28173.802781262166,33824.39217423845,3925.8726845624856,5650.589392976282,68.0,"[27981.9593, 35974.4647, 36246.6941, 35094.4505]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",28175.530307775553,33825.0276144025,3926.5719133084767,5649.497306626945,68.0,"[27981.3235, 35976.499, 36245.5582, 35096.7297]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",31684.772326827475,33988.268556184004,6509.1662393857105,2303.4962293565295,66.0,"[30875.3101, 37920.0839, 40707.0513, 26450.6289]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",31693.07364178037,33991.22860701467,6510.522884344818,2298.154965234302,66.0,"[30877.1513, 37926.0491, 40709.7989, 26451.9151]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",32855.24964592907,35985.40765136741,4161.053580112248,3130.1580054383376,46.5,"[32125.7617, 38009.0958, 40857.217, 32949.5562]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",32855.87250796519,35985.67809545466,4161.2499551692035,3129.805587489471,46.5,"[32128.0531, 38009.9467, 40857.6358, 32947.0768]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",34367.32743088151,36342.24998495826,6925.625641315121,1974.922554076751,186.0,"[33470.7919, 43202.2901, 40697.4887, 27998.4292]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",34392.41493880204,36355.79280499017,6931.2950695202235,1963.3778661881297,186.0,"[33472.044, 43225.9949, 40713.4308, 28011.7015]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",34277.190195643096,36366.477412724846,6502.322442522632,2089.28721708175,121.25,"[34068.4925, 43782.652, 38977.599, 28637.166]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",34305.13909614574,36385.70038507657,6508.376974765958,2080.5612889308322,121.25,"[34079.3794, 43808.8942, 39002.3386, 28652.1893]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",32511.543528533526,44146.57319136734,15051.03643644828,11635.029662833811,31.0,"[66583.4893, 34348.8513, 37429.5354, 38224.4168]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",32522.72045896346,44162.968312845056,15067.739778257006,11640.247853881596,31.0,"[66628.6661, 34387.1357, 37418.3307, 38217.7408]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",51006.663216971974,75896.80688097728,9708.94579959427,24890.143664005307,109.25,"[62815.4502, 85638.1187, 75200.6206, 79933.038]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",53973.698668175944,82219.93364983368,10866.495176072625,28246.234981657733,79.25,"[71786.0962, 92834.0686, 90275.3689, 73984.201]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",45954.42004999201,82813.89596209516,20728.837332674306,36859.47591210315,142.25,"[104520.0085, 71441.3018, 95468.0805, 59826.1931]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",66969.02220405637,86707.82564570595,12205.110279697012,19738.80344164958,100.75,"[68777.2904, 90826.5311, 91060.0176, 96167.4635]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",72166.88075895126,87067.18028820418,15981.907261803446,14900.299529252923,116.0,"[76291.3215, 109989.2656, 75946.4169, 86041.7172]"
