Configuracion,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",11703.437311833879,34611.38847128417,7127.897065483383,22907.95115945029,197.75,"[27681.9661, 30045.4203, 37402.4143, 43315.7532]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",11657.175181068558,34635.5107032715,7170.416113290187,22978.335522202942,197.75,"[27690.3559, 30030.0191, 37403.3303, 43418.3375]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",20262.939054324183,34721.390411917,4060.4920367420978,14458.451357592814,111.0,"[29211.2544, 34177.6912, 37257.8392, 38238.7768]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",20546.918448880017,34798.45905461312,3952.6043220986808,14251.540605733106,109.5,"[29473.0732, 34183.5935, 37274.5424, 38262.6271]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",23230.149301431775,34903.96383146726,3531.0256222545095,11673.814530035488,166.25,"[30058.976, 34728.9923, 38220.1408, 36607.7462]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",23160.335933036615,34906.02194704241,3551.7796094714936,11745.686014005798,166.25,"[30045.6293, 34677.8559, 38232.3574, 36668.2452]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",11161.413395835594,35351.42427012703,6167.990807348167,24190.01087429143,145.0,"[29037.6403, 33015.0673, 35714.3344, 43638.6552]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",11141.03802193749,35371.45563733397,6199.753069400308,24230.417615396484,145.0,"[29042.5892, 33026.7449, 35699.3088, 43717.1796]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",30273.419268166148,36331.14057605962,4435.6014804220285,6057.721307893469,148.25,"[31377.5893, 36634.9268, 42089.9398, 35222.1064]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",30286.038015079437,36333.57085306652,4434.490333246976,6047.532837987084,148.25,"[31380.0789, 36647.1989, 42088.2153, 35218.7904]"
