Configuracion,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",39439.131951113675,40340.05749036093,13954.63738617404,900.9255392472551,85.75,"[40120.6361, 35428.6608, 59441.2323, 26369.7007]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",35101.819197636636,43935.90941211791,14437.809513370876,8834.090214481272,62.5,"[44826.3811, 37918.4261, 63458.2604, 29540.57]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",35364.573401699425,43959.475795376195,14444.825367344465,8594.90239367677,35.25,"[46991.8608, 36483.9631, 62779.3769, 29582.7024]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",33236.438304160016,45230.476534650945,15585.216765619562,11994.038230490929,69.25,"[51509.5965, 37305.1251, 63732.7235, 28374.461]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",39828.41613914406,45380.11863406609,13381.02458616836,5551.702494922036,87.0,"[44753.4287, 41998.2181, 63466.8743, 31301.9534]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",40065.067796643256,46033.35463048,12898.855259109372,5968.286833836741,66.25,"[43707.5318, 48059.0745, 61829.2263, 30537.5859]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",36020.84983665189,46572.86849985464,17057.981334286935,10552.018663202747,108.5,"[63396.2866, 38906.7566, 57633.8986, 26354.5321]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",35388.61565655928,46716.73694705783,18002.27267110349,11328.121290498544,59.75,"[65331.0951, 38649.2399, 57334.3178, 25552.295]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",39088.89692476006,46878.59590368303,12853.259277002517,7789.69897892297,77.75,"[47703.9423, 47743.0881, 61730.2129, 30337.1403]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",41682.1803140557,47272.39132253418,13001.17606755613,5590.21100847848,81.0,"[42009.1066, 50448.0435, 63598.9707, 33033.4444]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",29108.222431345304,47390.621655664276,16779.80353481597,18282.39922431897,52.75,"[59699.2584, 38377.7416, 63157.1033, 28328.3833]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",46431.09681315342,48638.70126079694,12363.037676048381,2207.60444764352,97.25,"[50802.6008, 42043.2252, 65006.0248, 36702.9542]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",43211.66079563787,48664.04554286292,11662.370064186125,5452.384747225049,107.5,"[47925.5303, 45407.4349, 64606.1629, 36717.0541]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",46407.378113242135,49031.468531602746,12030.425935241321,2624.090418360611,123.75,"[50490.9421, 48727.0813, 63139.0133, 33768.8374]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",44338.51182670872,49980.304333049455,10343.18974054675,5641.792506340738,149.25,"[51179.3666, 47670.4771, 63056.7644, 38014.6091]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",36720.62978691738,50688.49669862336,22292.046593619092,13967.866911705984,62.75,"[77917.5361, 40168.4804, 58131.4371, 26536.5333]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",37097.48284560876,232343.0999720398,331708.26723339636,195245.61712643105,72.5,"[55572.029, 60084.8183, 84166.3974, 729549.1552]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",352241.89186699374,844182.3726079928,1177278.4561987047,491940.4807409991,57.25,"[2596211.1698, 204174.1548, 114328.2153, 462015.9505]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.01}",199228.71723316773,908406.2074368516,1356848.3770106172,709177.4902036838,124.25,"[240860.1924, 204157.1189, 2943491.8837, 245115.6348]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",137213.4755125723,40035428.956656925,79783992.11736177,39898215.481144354,114.0,"[159711396.8373, 204174.5313, 134796.6729, 91347.7851]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",130721.32090410468,65812228.588514954,130825614.93014306,65681507.26761085,165.75,"[262050540.0916, 204143.0997, 477013.1406, 517218.0223]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.01}",135249.44870239843,429799293.26119566,857776222.5308378,429664043.81249326,91.5,"[1716463169.2615, 204152.5423, 624384.4886, 1905466.7524]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.01}",131428.76606394022,935019174.8195227,1867762649.8837326,934887746.0534588,109.0,"[3736662364.4235, 204146.1751, 95459.8603, 3114728.8192]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",185518.34970202076,1009375350.5300328,2018046398.8400912,1009189832.1803308,142.0,"[4036444916.1926, 204144.4409, 765486.2957, 86855.1909]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":64,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",254588.41497079626,1216471671.163145,2432422843.2185946,1216217082.7481742,128.0,"[4865105934.1574, 204161.6442, 207294.4828, 369294.3683]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.1,""learning_rate"":0.0005,""weight_decay"":0.001}",706448462.4653928,14285034491.841175,28544825626.217045,13578586029.375782,44.75,"[57102264831.9359, 204169.6899, 214976.0956, 37453989.6434]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.01}",1036199.2806259601,109357367804.75891,218646958174.29868,109356331605.47829,91.75,"[437327797452.7112, 204164.0846, 953075.1132, 100516527.1268]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[64,32],""dropout"":0.25,""learning_rate"":0.001,""weight_decay"":0.001}",602867.5044887371,112540278002.08015,225075558182.92062,112539675134.57567,65.75,"[450153615240.7568, 204173.0616, 164500.5441, 7128093.9581]"
"{""activacion"":""relu"",""batch_norm"":true,""batch_size"":32,""capas_ocultas"":[128,64],""dropout"":0.25,""learning_rate"":0.0005,""weight_decay"":0.001}",820260.1532445218,1088523511485.4108,2177042549040.082,1088522691225.2576,42.5,"[4354087335042.613, 204147.8863, 151921.4504, 6354829.6933]"
