Configuracion,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",28531.239133514162,39846.69071930366,7856.269521044072,11315.451585789498,165.25,"[34460.8798, 37705.5283, 51460.1364, 35760.2183]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",28525.636837164864,39848.04233085531,7856.701712565895,11322.405493690443,165.25,"[34464.6086, 37702.244, 51462.907, 35762.4097]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",19465.125529591107,40133.24814905296,8378.331246000975,20668.122619461854,122.5,"[32848.6856, 34096.4544, 50815.8852, 42771.9674]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",19454.8733605819,40140.989024699826,8381.273553061605,20686.115664117926,122.5,"[32856.2523, 34094.5224, 50822.1605, 42791.0209]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",22440.93249814515,40304.30203008473,8728.048256477228,17863.369531939577,166.25,"[31976.4164, 40519.6694, 52305.0543, 36416.0681]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",31219.77454054151,40440.932363040454,6151.5668823206015,9221.157822498943,87.25,"[34590.9635, 41468.5217, 48623.5854, 37080.6589]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",31215.377748561623,40443.659293247794,6152.596862645424,9228.281544686171,87.25,"[34594.8188, 41465.237, 48630.4854, 37084.0959]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",35953.25622719113,40538.377322024106,5784.668573594217,4585.121094832975,204.5,"[36677.3016, 44157.3352, 46674.1307, 34644.7417]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",35972.97551730371,40544.30745009872,5783.9981642271905,4571.3319327950085,204.5,"[36680.5394, 44177.9743, 46667.9016, 34650.8144]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",22973.992534334408,40761.30610902979,8787.299316971674,17787.313574695385,164.25,"[31978.7403, 42274.8539, 52326.9653, 36464.6649]"
