Configuracion,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",16439.061771786866,37389.78182118051,12588.801499367957,20950.720049393647,18.0,"[29543.5568, 26959.247, 38219.8981, 54836.4254]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",16436.766935980282,37353.94762928033,12594.729933071061,20917.180693300048,18.0,"[29530.8005, 26877.0698, 38213.3144, 54794.6057]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",15214.246392446777,40302.02884433672,18354.71692081446,25087.78245188994,33.25,"[29700.708, 26113.837, 38737.3057, 66656.2647]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",15201.909191661844,40274.325598487165,18416.23284493792,25072.416406825323,33.25,"[29556.997, 26116.0494, 38698.6144, 66725.6415]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",14362.020041186102,38617.73462351881,15692.455885157653,24255.71458233271,17.25,"[29487.8479, 24614.9556, 40392.0617, 59976.0732]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",15006.459031897815,38730.83804444686,15611.927098411728,23724.37901254904,16.25,"[29487.3928, 24982.5152, 40417.8373, 60035.6069]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.0001}",16229.203971329749,38771.46127314291,16510.34118919807,22542.25730181316,15.75,"[29083.371, 24793.7668, 39457.507, 61751.2003]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[64],""dropout"":0.1,""learning_rate"":0.001,""weight_decay"":0.001}",16236.183608239196,38783.3308363204,16527.769567307474,22547.1472280812,15.75,"[29087.9285, 24793.2477, 39461.909, 61790.2381]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.0001}",14083.483719008893,39863.67249101339,15445.09837520273,25780.188772004498,41.75,"[30419.1425, 27649.6903, 39676.4158, 61709.4414]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""learning_rate"":0.001,""weight_decay"":0.001}",14087.404148435668,39875.834553675086,15466.833319713378,25788.430405239418,41.75,"[30415.1443, 27657.9216, 39671.907, 61758.3654]"
