Configuracion,Estado,Error,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,10718.577327965158,33808.06451844206,7524.803500469784,23089.4871904769,569.0,"[28394.3516, 31859.885, 44893.9274, 30084.0941]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,11468.704305074,33180.81047260955,6797.289377233422,21712.10616753555,274.75,"[27688.9881, 31295.7394, 43101.6943, 30636.8201]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,12984.921555950958,33792.785449921954,5165.388536065435,20807.863893970996,123.75,"[32240.4733, 30303.7704, 41449.2707, 31177.6275]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,9023.095845614078,37499.42821198287,11309.482521437109,28476.33236636879,432.75,"[28916.9632, 35486.2789, 53974.6275, 31619.8433]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,9951.040854310735,36172.992824152905,12354.093113505493,26221.951969842172,189.75,"[24997.4306, 35048.3688, 53638.2437, 31007.9281]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[64],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,10586.601598250742,34312.01737905253,11613.596468666445,23725.415780801788,84.25,"[24142.3384, 34980.2011, 50368.0475, 27757.4825]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,6157.711657151936,28929523.279650744,57776125.82280374,28923365.567993592,376.75,"[115593711.4537, 48384.2411, 43363.2213, 32634.2025]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,6597.79351061292,31210638.1119514,62340634.82294491,31204040.318440787,160.25,"[124721589.8875, 47062.0398, 41759.2577, 32141.2629]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[128],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,11071.93976847758,15650336.191123437,31227147.97818988,15639264.251354959,107.75,"[62491058.0985, 36380.2728, 38858.5975, 35047.7956]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32,16],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,9054.37265550624,54233987.98374836,108367094.56415005,54224933.61109286,498.75,"[216784627.6014, 41631.194, 75457.074, 34236.0656]"
