Configuracion,Estado,Error,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0}",ok,,12096.386488141377,31747.81674342019,7835.07526164254,19651.430255278814,153.25,"[23661.1436, 30006.6185, 42468.8873, 30854.6175]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0}",ok,,19897.40126446916,31268.975176869866,4420.035872717418,11371.573912400705,225.75,"[29710.2299, 36170.4385, 33242.4234, 25952.8089]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",ok,,11998.545041838732,31996.411307288752,7514.715627703801,19997.866265450022,160.0,"[24598.3456, 30067.4677, 42467.846, 30851.986]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",ok,,19884.0717967703,31265.358404949762,4465.116993296139,11381.286608179464,225.75,"[29635.521, 36166.97, 33356.2252, 25902.7174]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,12004.337577284721,31995.01495565199,7507.676469169624,19990.67737836727,160.0,"[24596.659, 30083.0291, 42453.7634, 30846.6082]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,19880.111930505816,31250.845256658464,4404.2559158503645,11370.733326152647,225.75,"[29623.6439, 36172.9155, 33201.3109, 26005.5107]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0}",ok,,11370.130351307072,32166.26319629213,6856.375511320388,20796.132844985055,289.5,"[24401.2598, 31642.2463, 41112.1197, 31509.4269]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0}",ok,,20178.80425735213,33388.58749144447,6178.576366758522,13209.783234092341,272.75,"[31932.5547, 33930.7577, 41318.5658, 26372.4717]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",ok,,11368.84509143895,32168.2660031527,6881.040461270022,20799.42091171375,289.5,"[24387.5769, 31633.18, 41155.4732, 31496.834]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",ok,,20191.608463787714,33413.46623202518,6136.261163682648,13221.857768237467,272.75,"[31931.0752, 33929.606, 41313.815, 26479.3687]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,11367.192016012401,32178.696233598544,6866.98436058386,20811.504217586145,289.5,"[24408.272, 31673.6822, 41142.9282, 31489.9025]"
