Configuracion,Semilla,Estado,Error,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",2026,ok,,19880.111930505816,31250.845256658464,4404.2559158503645,11370.733326152647,225.75,"[29623.6439, 36172.9155, 33201.3109, 26005.5107]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",2026,ok,,19884.0717967703,31265.358404949762,4465.116993296139,11381.286608179464,225.75,"[29635.521, 36166.97, 33356.2252, 25902.7174]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0}",2026,ok,,19897.40126446916,31268.975176869866,4420.035872717418,11371.573912400705,225.75,"[29710.2299, 36170.4385, 33242.4234, 25952.8089]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":128,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",2026,ok,,12778.567303605667,31280.545435499393,6756.607245112107,18501.978131893724,401.0,"[24079.2994, 30729.2074, 40388.5688, 29925.1061]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":128,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",2026,ok,,12776.85126844493,31285.670727699886,6761.050779557699,18508.819459254955,401.0,"[24082.451, 30733.1226, 40401.2914, 29925.818]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",42,ok,,27046.455923519738,40047.49010369028,13344.704852982095,13001.034180170544,95.5,"[26093.3217, 52374.9868, 31211.1001, 50510.5519]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",42,ok,,27046.881491252047,40050.98199477344,13335.47801630405,13004.100503521397,95.5,"[26107.9123, 52375.9347, 31219.4461, 50500.6349]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0}",42,ok,,27047.08947661928,40053.168162311034,13336.612916858376,13006.078685691755,95.5,"[26101.8776, 52376.2582, 31229.5001, 50505.0368]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":128,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",42,ok,,29545.727715666657,56804.25178215204,34005.08295024583,27258.52406648538,223.25,"[25846.9644, 93210.2688, 78271.2175, 29888.5564]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":128,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",42,ok,,29546.290454015576,56798.47873820849,34030.68966783394,27252.188284192915,223.25,"[25852.6383, 93204.602, 78320.1962, 29816.4784]"
