Configuracion,Semilla,Estado,Error,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",2026,ok,,34949.418011813505,60877.500540318004,18763.991865033582,25928.0825285045,158.5,"[40516.6539, 77244.548, 49349.5593, 76399.241]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0}",2026,ok,,34943.60956558523,60837.15941700137,18937.91627544495,25893.549851416137,158.5,"[40221.9887, 77249.6592, 49286.6198, 76590.37]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",42,ok,,22602.86416330773,78016.67386107666,77216.09514271717,55413.80969776893,147.0,"[26164.7765, 192651.4677, 53196.9368, 40053.5144]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0}",42,ok,,22600.034837149422,77849.15373744654,77221.97965849875,55249.11890029712,147.0,"[26156.1311, 192491.1343, 53210.7725, 39538.577]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",31415,ok,,30429.411974961833,95827.90137278654,72060.27799543102,65398.489397824706,126.0,"[196427.1658, 52832.5591, 98252.0, 35799.8806]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0}",31415,ok,,30428.865377677488,95944.9416200402,71983.26257077002,65516.07624236272,126.0,"[196445.6736, 53253.6121, 98272.1152, 35808.3655]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",2718,ok,,22725.133086159978,60728.453510836676,29248.05629796783,38003.3204246767,175.75,"[54947.0253, 39476.1737, 103535.6762, 44954.9388]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0}",2718,ok,,22746.290105353008,60760.6691397339,29306.953283368395,38014.379034380894,175.75,"[54969.4688, 39405.7971, 103648.116, 45019.2946]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",7,ok,,24617.17480481162,57171.95686558594,39235.16801255239,32554.78206077432,118.5,"[112964.7274, 56232.0528, 29572.2095, 29918.8377]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""acorde_activacion"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0}",7,ok,,24664.411733122382,57404.181289120075,39729.00675574592,32739.769555997693,118.5,"[113994.2224, 56151.461, 29547.9889, 29923.0529]"
