Configuracion,Semilla,Estado,Error,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",2026,ok,,14345.364940049567,23931.371408862844,3637.6783250625335,9586.006468813277,69.75,"[18786.7646, 24640.1821, 27351.4707, 24947.0683]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",2026,ok,,12984.921555950958,33792.785449921954,5165.388536065435,20807.863893970996,123.75,"[32240.4733, 30303.7704, 41449.2707, 31177.6275]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",2026,ok,,14474.613367682172,24028.225112693628,3282.8778229864993,9553.611745011456,68.25,"[19394.9529, 24632.7845, 27134.3446, 24950.8185]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",2026,ok,,13017.892290254724,33647.760253665925,4166.464749427127,20629.8679634112,118.5,"[32021.7853, 32238.96, 39793.584, 30536.7117]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",2026,ok,,25295.714537062104,30967.949962885068,8480.68519448833,5672.235425822964,114.0,"[26623.611, 42008.6488, 32746.9102, 22492.6298]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",2026,ok,,23047.51453230959,38850.194070010104,6437.733968482147,15802.679537700515,130.25,"[34719.7385, 41850.5581, 46402.0795, 32428.4003]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",42,ok,,13953.703492301502,25447.524997088243,5502.53444147114,11493.821504786742,85.75,"[23359.236, 33157.751, 25005.3149, 20267.7981]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",42,ok,,27709.1619552414,60456.723555835764,41018.36944277531,32747.561600594363,50.75,"[26756.3552, 83004.4153, 106906.131, 25159.9927]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",42,ok,,14615.898020593964,25610.851969772895,5363.9839621155725,10994.953949178931,76.5,"[24194.5325, 33036.5312, 24963.5114, 20248.8328]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",42,ok,,28259.471001989383,55232.35655069507,34369.55607387096,26972.885548705686,51.0,"[25961.9097, 83398.6455, 86550.4125, 25018.4586]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",42,ok,,20903.80482200724,29842.83110160951,4179.294344441154,8939.026279602269,133.25,"[27004.5184, 25566.351, 32789.8735, 34010.5815]"
"{""activacion"":""tanh"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",42,ok,,23694.719904414505,40570.24822780024,8676.601024929942,16875.528323385737,134.75,"[29325.2897, 49727.5459, 39028.9425, 44199.2149]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",31415,ok,,14122.792900541412,23672.59632711669,1198.8170925956495,9549.80342657528,68.5,"[23615.9916, 22519.43, 23217.5956, 25337.3681]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""acorde_activacion"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",31415,ok,,13458.450584955404,31965.932045259928,4883.886716542687,18507.481460304523,72.0,"[30312.1879, 32040.214, 38568.1201, 26943.2063]"
