Configuracion,Estado,Error,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,13620.312596668744,24067.991871773294,2992.2437663064966,10447.67927510455,246.75,"[20067.8889, 24728.0525, 27294.6316, 24181.3945]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,14287.857830507462,24002.424739714646,3556.591285602195,9714.566909207184,358.0,"[19462.2736, 24424.2067, 28144.4763, 23978.7423]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,13953.914273976461,24017.261479572688,3213.3686501235175,10063.347205596227,104.5,"[19855.7108, 24514.6274, 27679.4102, 24019.2975]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,13931.485501253912,23707.302600517847,2870.295578687974,9775.817099263935,167.75,"[19629.8874, 24341.6973, 26367.1156, 24490.5101]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,14791.151700429149,24042.264818948155,3042.560634790549,9251.113118519006,41.5,"[20157.5319, 25997.8324, 26877.0469, 23136.6481]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,14345.364940049567,23931.371408862844,3637.6783250625335,9586.006468813277,69.75,"[18786.7646, 24640.1821, 27351.4707, 24947.0683]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,13777.019566017785,23844.74355875096,2479.533641222467,10067.723992733176,251.0,"[20442.9812, 24567.3851, 26359.2974, 24009.3106]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,14421.743402728118,23759.943400259363,2979.5193518299484,9338.199997531245,358.0,"[19841.3823, 24240.2409, 27081.5688, 23876.5817]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,14064.921848614198,23882.941449744616,2761.662424382078,9818.019601130418,104.5,"[20268.3808, 24406.8686, 26971.7578, 23884.7586]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,13889.71419611658,23820.601433626773,2678.4723128578357,9930.887237510193,176.75,"[19926.0695, 25230.7025, 25863.0291, 24262.6047]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":32,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,14808.141901651983,24017.546161915645,2821.8232885283546,9209.404260263662,41.5,"[20418.8715, 25939.9998, 26564.0059, 23147.3074]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,14474.613367682172,24028.225112693628,3282.8778229864993,9553.611745011456,68.25,"[19394.9529, 24632.7845, 27134.3446, 24950.8185]"
