Configuracion,Estado,Error,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0}",ok,,13931.120898428357,23709.946086869793,2870.011430658579,9778.825188441437,167.75,"[19631.8175, 24344.478, 26366.6119, 24496.877]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",ok,,13931.224125039493,23708.96669952385,2869.7636863163993,9777.742574484359,167.75,"[19631.6819, 24344.4332, 26366.7603, 24492.9914]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,13931.485501253912,23707.302600517847,2870.295578687974,9775.817099263935,167.75,"[19629.8874, 24341.6973, 26367.1156, 24490.5101]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.02,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0}",ok,,18824.473613326474,26071.667996782075,3900.7486098627865,7247.1943834556005,90.5,"[21063.9639, 26504.8555, 30585.9946, 26131.858]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.02,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",ok,,18824.597806511796,26071.557620515916,3901.2055100807415,7246.95981400412,90.5,"[21063.3079, 26504.208, 30586.5088, 26132.2058]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.02,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,18824.88065676116,26071.167899787513,3902.3490870244405,7246.287243026352,90.5,"[21061.5301, 26502.5544, 30587.6493, 26132.9378]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0}",ok,,22186.720770702115,28451.629049645486,4768.943091147528,6264.9082789433705,95.5,"[24658.0228, 28480.671, 35168.691, 25499.1315]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",ok,,22186.433780927808,28451.315332057748,4769.162305404333,6264.88155112994,95.5,"[24657.3897, 28479.5748, 35168.915, 25499.3819]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.05,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,22184.955333661583,28447.57203358286,4769.866789686378,6262.616699921276,95.5,"[24655.7723, 28464.8894, 35169.7633, 25499.8631]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.0}",ok,,14420.649765304188,23759.16720838391,2977.784420145084,9338.517443079723,358.0,"[19844.0093, 24235.2939, 27080.7088, 23876.6569]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",ok,,14420.649765304188,23759.16720838391,2977.784420145084,9338.517443079723,358.0,"[19844.0093, 24235.2939, 27080.7088, 23876.6569]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.001}",ok,,14421.743402728118,23759.943400259363,2979.5193518299484,9338.199997531245,358.0,"[19841.3823, 24240.2409, 27081.5688, 23876.5817]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.02,""inicializacion"":""original"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.0}",ok,,20325.143191630537,25645.50622341449,987.1032620759019,5320.3630317839525,218.0,"[24221.5854, 26500.9723, 25962.7145, 25896.7528]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.02,""inicializacion"":""original"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",ok,,20325.143191630537,25645.50622341449,987.1032620759019,5320.3630317839525,218.0,"[24221.5854, 26500.9723, 25962.7145, 25896.7528]"
