Configuracion,Semilla,Estado,Error,RMSE_entrenamiento_promedio,RMSE_CV_promedio,Desviacion_RMSE_CV,Brecha_CV_entrenamiento,Epocas_promedio,RMSE_por_fold
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",2026,ok,,13931.485501253912,23707.302600517847,2870.295578687974,9775.817099263935,167.75,"[19629.8874, 24341.6973, 26367.1156, 24490.5101]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",2026,ok,,13931.224125039493,23708.96669952385,2869.7636863163993,9777.742574484359,167.75,"[19631.6819, 24344.4332, 26366.7603, 24492.9914]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0}",2026,ok,,13931.120898428357,23709.946086869793,2870.011430658579,9778.825188441437,167.75,"[19631.8175, 24344.478, 26366.6119, 24496.877]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.0}",2026,ok,,14420.649765304188,23759.16720838391,2977.784420145084,9338.517443079723,358.0,"[19844.0093, 24235.2939, 27080.7088, 23876.6569]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",2026,ok,,14420.649765304188,23759.16720838391,2977.784420145084,9338.517443079723,358.0,"[19844.0093, 24235.2939, 27080.7088, 23876.6569]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",42,ok,,13824.536159239015,25117.61581814119,5175.997575287283,11293.079658902174,152.75,"[23079.9544, 32173.6321, 25239.1684, 19977.7084]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",42,ok,,13823.887392420507,25118.122584704324,5175.6538279362385,11294.235192283817,152.75,"[23081.5059, 32173.4919, 25239.5442, 19977.9484]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0}",42,ok,,13823.626759945182,25117.984416099112,5175.513617954354,11294.35765615393,152.75,"[23082.3052, 32173.5435, 25237.9992, 19978.0898]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.0}",42,ok,,13991.980917387145,25046.786958839606,5366.807592189548,11054.80604145246,367.0,"[22793.7574, 32307.2195, 25378.6458, 19707.5251]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",42,ok,,13991.980917387145,25046.786958839606,5366.807592189548,11054.80604145246,367.0,"[22793.7574, 32307.2195, 25378.6458, 19707.5251]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",31415,ok,,14033.071445255819,23223.793894428312,1298.2978587454004,9190.722449172494,160.25,"[23983.8809, 21404.3345, 23202.3756, 24304.5845]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",31415,ok,,13903.748444571653,23330.64490300204,1431.1817252273652,9426.896458430389,164.5,"[23983.89, 21404.758, 23192.6062, 24741.3254]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0}",31415,ok,,14028.86648455913,23224.647165235176,1301.0132636736955,9195.780680676045,160.25,"[23983.8043, 21404.845, 23194.8701, 24315.0693]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.0}",31415,ok,,15184.003584020938,24138.70322698575,1665.8343467375394,8954.69964296481,290.0,"[24678.8808, 21760.4011, 24471.4427, 25644.0882]"
"{""activacion"":""leaky_relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0001,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",31415,ok,,15184.003584020938,24138.70322698575,1665.8343467375394,8954.69964296481,290.0,"[24678.8808, 21760.4011, 24471.4427, 25644.0882]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.001}",2718,ok,,13360.148460775215,26127.424134248846,6576.208623458053,12767.27567347363,163.25,"[33285.1745, 30065.7849, 21426.0217, 19732.7155]"
"{""activacion"":""relu"",""batch_norm"":false,""batch_size"":64,""capas_ocultas"":[32],""dropout"":0.0,""inicializacion"":""original"",""learning_rate"":0.0003,""pendiente_leaky"":0.01,""weight_decay"":0.0001}",2718,ok,,13391.015378163742,26086.172498381995,6513.6375093668385,12695.157120218253,163.25,"[33113.8814, 30067.6784, 21430.0743, 19733.056]"
