Id,Particion
1,Entrenamiento
2,Entrenamiento
3,Entrenamiento
4,Entrenamiento
5,Prueba
6,Validacion
7,Entrenamiento
8,Entrenamiento
9,Entrenamiento
10,Entrenamiento
11,Validacion
12,Entrenamiento
13,Entrenamiento
14,Prueba
15,Entrenamiento
17,Validacion
18,Entrenamiento
19,Entrenamiento
20,Entrenamiento
21,Entrenamiento
22,Entrenamiento
23,Validacion
25,Prueba
26,Entrenamiento
27,Entrenamiento
28,Entrenamiento
29,Entrenamiento
32,Validacion
34,Entrenamiento
35,Validacion
36,Entrenamiento
37,Entrenamiento
38,Entrenamiento
39,Validacion
40,Entrenamiento
41,Entrenamiento
42,Entrenamiento
43,Entrenamiento
46,Entrenamiento
47,Prueba
48,Entrenamiento
49,Entrenamiento
51,Entrenamiento
53,Prueba
54,Prueba
55,Prueba
56,Validacion
58,Entrenamiento
61,Entrenamiento
62,Prueba
63,Entrenamiento
65,Entrenamiento
67,Validacion
69,Validacion
70,Entrenamiento
72,Entrenamiento
73,Entrenamiento
74,Entrenamiento
75,Entrenamiento
76,Entrenamiento
78,Entrenamiento
80,Entrenamiento
81,Entrenamiento
83,Entrenamiento
84,Entrenamiento
85,Prueba
86,Validacion
87,Entrenamiento
88,Entrenamiento
89,Entrenamiento
90,Entrenamiento
91,Entrenamiento
92,Validacion
93,Entrenamiento
94,Entrenamiento
95,Validacion
96,Validacion
97,Entrenamiento
98,Entrenamiento
99,Entrenamiento
101,Entrenamiento
103,Entrenamiento
104,Entrenamiento
105,Validacion
106,Validacion
107,Entrenamiento
109,Entrenamiento
110,Entrenamiento
111,Entrenamiento
113,Entrenamiento
114,Entrenamiento
115,Entrenamiento
117,Entrenamiento
118,Entrenamiento
119,Entrenamiento
120,Entrenamiento
121,Entrenamiento
122,Entrenamiento
123,Validacion
125,Entrenamiento
126,Entrenamiento
127,Prueba
128,Entrenamiento
130,Validacion
131,Entrenamiento
132,Entrenamiento
133,Entrenamiento
134,Entrenamiento
135,Validacion
136,Validacion
137,Entrenamiento
138,Entrenamiento
139,Prueba
140,Entrenamiento
141,Prueba
143,Entrenamiento
144,Prueba
145,Entrenamiento
146,Entrenamiento
147,Entrenamiento
148,Entrenamiento
149,Entrenamiento
150,Entrenamiento
151,Entrenamiento
152,Entrenamiento
153,Prueba
154,Entrenamiento
155,Validacion
156,Entrenamiento
157,Validacion
158,Entrenamiento
159,Validacion
160,Entrenamiento
161,Entrenamiento
162,Entrenamiento
163,Entrenamiento
165,Entrenamiento
166,Entrenamiento
167,Validacion
168,Entrenamiento
170,Entrenamiento
171,Validacion
172,Entrenamiento
173,Entrenamiento
174,Entrenamiento
175,Entrenamiento
177,Entrenamiento
178,Prueba
179,Validacion
180,Entrenamiento
181,Validacion
182,Entrenamiento
183,Entrenamiento
184,Entrenamiento
186,Entrenamiento
187,Entrenamiento
188,Entrenamiento
189,Prueba
190,Entrenamiento
191,Entrenamiento
192,Validacion
194,Entrenamiento
195,Entrenamiento
196,Entrenamiento
198,Entrenamiento
200,Entrenamiento
201,Validacion
202,Entrenamiento
203,Entrenamiento
205,Validacion
206,Entrenamiento
207,Entrenamiento
208,Prueba
210,Entrenamiento
211,Entrenamiento
212,Entrenamiento
213,Entrenamiento
214,Prueba
215,Entrenamiento
216,Entrenamiento
217,Entrenamiento
218,Entrenamiento
220,Entrenamiento
222,Entrenamiento
223,Validacion
224,Entrenamiento
225,Entrenamiento
226,Entrenamiento
227,Validacion
228,Prueba
229,Validacion
230,Entrenamiento
231,Entrenamiento
233,Entrenamiento
235,Entrenamiento
236,Entrenamiento
237,Prueba
239,Entrenamiento
242,Prueba
243,Validacion
244,Entrenamiento
246,Entrenamiento
247,Entrenamiento
249,Entrenamiento
250,Validacion
251,Entrenamiento
252,Entrenamiento
253,Entrenamiento
254,Entrenamiento
255,Entrenamiento
256,Validacion
257,Entrenamiento
258,Prueba
259,Entrenamiento
261,Prueba
263,Entrenamiento
264,Entrenamiento
265,Entrenamiento
266,Entrenamiento
267,Entrenamiento
268,Entrenamiento
269,Entrenamiento
270,Entrenamiento
273,Validacion
274,Entrenamiento
277,Entrenamiento
279,Entrenamiento
280,Prueba
281,Validacion
282,Entrenamiento
283,Entrenamiento
284,Entrenamiento
285,Entrenamiento
286,Entrenamiento
287,Entrenamiento
288,Entrenamiento
289,Prueba
291,Validacion
292,Entrenamiento
293,Entrenamiento
294,Validacion
295,Entrenamiento
296,Prueba
297,Validacion
299,Entrenamiento
300,Prueba
301,Entrenamiento
302,Entrenamiento
303,Entrenamiento
304,Validacion
305,Entrenamiento
306,Entrenamiento
308,Entrenamiento
309,Entrenamiento
312,Entrenamiento
313,Entrenamiento
314,Entrenamiento
315,Prueba
316,Entrenamiento
318,Prueba
319,Validacion
320,Validacion
321,Validacion
322,Entrenamiento
324,Validacion
326,Entrenamiento
327,Prueba
328,Entrenamiento
329,Prueba
330,Entrenamiento
331,Entrenamiento
332,Validacion
334,Prueba
335,Entrenamiento
336,Entrenamiento
337,Entrenamiento
338,Entrenamiento
339,Prueba
341,Entrenamiento
342,Validacion
343,Prueba
344,Entrenamiento
346,Entrenamiento
347,Entrenamiento
348,Validacion
349,Entrenamiento
350,Entrenamiento
353,Validacion
356,Entrenamiento
357,Entrenamiento
358,Entrenamiento
360,Entrenamiento
361,Entrenamiento
363,Prueba
365,Entrenamiento
367,Entrenamiento
369,Entrenamiento
370,Entrenamiento
371,Entrenamiento
373,Prueba
374,Prueba
376,Entrenamiento
377,Validacion
378,Entrenamiento
379,Entrenamiento
380,Entrenamiento
381,Entrenamiento
382,Prueba
384,Validacion
385,Validacion
386,Entrenamiento
387,Entrenamiento
388,Entrenamiento
389,Entrenamiento
390,Entrenamiento
391,Entrenamiento
392,Validacion
393,Entrenamiento
394,Validacion
396,Prueba
397,Entrenamiento
398,Entrenamiento
400,Entrenamiento
401,Prueba
402,Validacion
403,Validacion
404,Prueba
405,Entrenamiento
406,Entrenamiento
407,Entrenamiento
408,Entrenamiento
409,Prueba
410,Entrenamiento
411,Entrenamiento
413,Validacion
415,Entrenamiento
418,Entrenamiento
419,Entrenamiento
420,Validacion
421,Entrenamiento
422,Entrenamiento
