Epoca,Perdida_entrenamiento_transformada,RMSE_early_stopping,Learning_rate
1,124.28048558531042,199427.53375784613,0.001
2,88.49706931066031,199409.18423952616,0.001
3,68.59887186686198,199368.8471932119,0.001
4,54.45269386214439,199280.65087117918,0.001
5,42.870640753323556,199088.18950568384,0.001
6,33.03043787131922,198671.81604820924,0.001
7,24.671036900551975,197777.55589888175,0.001
8,17.623606381822285,195870.75149242568,0.001
9,11.820803766126756,191829.38651136667,0.001
10,7.238585678529946,183322.74784866115,0.001
11,3.8132000055492012,165664.59827351396,0.001
12,1.5138092806500962,130462.50727277121,0.001
13,0.35276761797255424,82949.68281529656,0.001
14,0.15329958139387903,77258.11041242728,0.001
15,0.1436799170091899,77415.1226428433,0.001
16,0.12813416357766327,75240.76438089555,0.001
17,0.114534168725922,72609.35394227548,0.001
18,0.1011148187483716,70037.71057822953,0.001
19,0.08904998366751884,67179.28842348915,0.001
20,0.08003112469486688,65831.57571422234,0.001
21,0.07380257411436601,63968.875763241405,0.001
22,0.06773683214277933,62223.833416413865,0.001
23,0.06221535736305201,60798.88635624313,0.001
24,0.05689171339891862,59770.691567719514,0.001
25,0.05229495949559398,57753.82479604435,0.001
26,0.04756606585772179,56212.943023366344,0.001
27,0.04336061020762072,54511.48121318902,0.001
28,0.038071512799672406,51935.27735533725,0.001
29,0.03111844634150745,47445.93623141104,0.001
30,0.02516546985739237,44239.73986883212,0.001
31,0.020897211200553618,40807.2659669096,0.001
32,0.017788849418921043,37924.02304856084,0.001
33,0.01588739822773212,35977.71993680701,0.001
34,0.014037886494703451,34062.5642796599,0.001
35,0.012869920406872232,32818.60513928013,0.001
36,0.011965699766696704,31612.371221640013,0.001
37,0.011093735217800818,30608.933060966054,0.001
38,0.010708758142517415,30123.491375980302,0.001
39,0.009728983826774023,29431.769186611808,0.001
40,0.00933584047301335,28908.070572963738,0.001
41,0.008896900719894475,28682.0338117704,0.001
42,0.008670913472820025,28378.753852249294,0.001
43,0.008256598365658419,28426.835505314863,0.001
44,0.007756028858229819,28123.684607563166,0.001
45,0.007091582624421792,27708.433750403394,0.001
46,0.006815130198790999,27745.44719201083,0.001
47,0.006578635984109809,27463.180092966795,0.001
48,0.0063504608291568175,27392.072009781605,0.001
49,0.0061525219586418475,27492.89498999464,0.001
50,0.005954385897706425,27272.438602641818,0.001
51,0.005759826716852695,27015.364366196463,0.001
52,0.005606141226288216,27353.41359402438,0.001
53,0.005430866002601075,27041.89332856236,0.001
54,0.005334773135517991,26747.423600268063,0.001
55,0.005194947277404056,26792.414599276308,0.001
56,0.0049615713511022485,26804.620802557773,0.001
57,0.004997808034336907,26634.885392868575,0.001
58,0.004796695360284928,26393.017064564327,0.001
59,0.004583985436557218,26506.854654343166,0.001
60,0.004436271664287362,26986.459350725294,0.001
61,0.004389766618491165,26603.346633477115,0.001
62,0.004326540073326118,26401.92960696484,0.001
63,0.004170874984898641,26383.262897368284,0.001
64,0.003996674214996408,26508.90933494405,0.001
65,0.00389697146198805,26384.89210284955,0.001
66,0.0037943173460608607,26631.74789885146,0.001
67,0.0037652188186328133,26512.459736835663,0.001
68,0.003723369753740803,26218.814915515453,0.001
69,0.0036113470764884466,26484.54807131475,0.001
70,0.003503973460736084,26146.03725372298,0.001
71,0.003325620668162128,26580.811495476417,0.001
72,0.003212989347585051,26557.316375021863,0.001
73,0.003166887607132481,26120.27618376963,0.001
74,0.003009280262442378,26803.944430878415,0.001
75,0.0031112155542422685,26378.857644716893,0.001
76,0.0030260400854663933,26358.151390162802,0.001
77,0.0028268028434344484,26187.878790934148,0.001
78,0.002858084774996768,26130.544828496117,0.001
79,0.0026989278130227913,25886.56523557113,0.001
80,0.0025880185250209005,26044.646007248088,0.001
81,0.0026007352524852275,26022.577451817782,0.001
82,0.002391015077318894,26101.03108564749,0.001
83,0.002554373491775852,26305.46964014837,0.001
84,0.0023481155427180845,26170.340891782496,0.001
85,0.0022132305159941745,25896.18488896751,0.001
86,0.002153760176367015,26246.3664128366,0.001
87,0.002036758664589574,26159.997053003583,0.001
88,0.0020175656807053873,26188.96357695239,0.001
89,0.0019320937719036156,26004.57754414361,0.001
90,0.00190242319125924,26243.2083977811,0.001
91,0.0018483141919632925,25958.728957002764,0.001
92,0.0018350691329634078,26488.56079045288,0.001
93,0.0018175834360496176,26435.96057001696,0.001
94,0.0017742852433107546,26470.765179671376,0.001
95,0.001676048918339608,26557.95331001014,0.001
96,0.0016524172732391507,26493.509581199323,0.001
97,0.0016119802897476187,26183.01001184489,0.001
98,0.0015617451836485389,26437.84565097834,0.001
99,0.0014513580297881906,26567.428475111017,0.001
100,0.0014208955278695382,26665.76407662033,0.001
101,0.0014537343460378407,26529.813727620385,0.001
102,0.0015821467492390764,26542.50563865913,0.001
103,0.001376523351878691,26685.620026614255,0.001
104,0.0012667541008128168,26726.648072283802,0.001
105,0.0012335334980926203,26757.553642466988,0.001
106,0.001227255174009906,26779.13139693269,0.001
107,0.0012219366407516434,26730.215603008568,0.001
108,0.001228701136426726,26592.625343852982,0.001
109,0.0011334901479540546,26332.129883074682,0.001
110,0.0011441636706929531,26842.669941093336,0.001
111,0.00112376220337509,26611.250835172938,0.001
112,0.0010323327136008286,26851.309010249322,0.001
113,0.001043120204251996,26734.786430534587,0.001
114,0.0010269749126817715,26982.500750219933,0.001
