Epoca,Perdida_entrenamiento_transformada,RMSE_early_stopping,Learning_rate
1,133.74770724033723,199431.22984243667,0.001
2,108.26286619772642,199426.15962495547,0.001
3,91.2278471226988,199418.004854999,0.001
4,79.76322534074,199406.35385175457,0.001
5,70.9984736587062,199389.4198714029,0.001
6,63.485527743164766,199364.68842971374,0.001
7,56.81932275395029,199327.93459177675,0.001
8,50.70622407547151,199273.8603870554,0.001
9,45.087633476972925,199194.4732856724,0.001
10,39.91744364288462,199077.68428415732,0.001
11,35.12523021945706,198906.28503400375,0.001
12,30.672550941786554,198655.3212838036,0.001
13,26.56098839455697,198288.35607956414,0.001
14,22.78273722275683,197752.43104718227,0.001
15,19.3152493013104,196971.0618060019,0.001
16,16.148021311298937,195833.3470926881,0.001
17,13.279217256268037,194179.9502391141,0.001
18,10.71401668592621,191779.7745503026,0.001
19,8.446066286656764,188302.3571991165,0.001
20,6.457813971658462,183277.47251456985,0.001
21,4.756147365377407,176045.02483975922,0.001
22,3.339341685197398,165696.10575504342,0.001
23,2.206504891273091,151064.3789317852,0.001
24,1.3412521669874975,130910.3494891911,0.001
25,0.7610099475191097,105326.01893207684,0.001
26,0.460251363668951,84845.9592678076,0.001
27,0.3874478785678594,81066.50022378821,0.001
28,0.39013739203305814,80854.57234408011,0.001
29,0.3842699303255453,80821.91751829324,0.001
30,0.3784450515352114,81234.07900813801,0.001
31,0.37373308463272076,81079.32726896544,0.001
32,0.3692010198148642,80664.70124004138,0.001
33,0.3630910840041366,80025.54185658963,0.001
34,0.35518075764437257,78899.1455143937,0.001
35,0.35250143074628076,77795.767397852,0.001
36,0.34213407969836035,77769.67531290023,0.001
37,0.3346368751312575,76889.60393260643,0.001
38,0.32305006951652737,75041.71578581753,0.001
39,0.3102470877194645,72914.91307934499,0.001
40,0.29682383891651987,70033.2207231476,0.001
41,0.2825036461197625,67132.20993232974,0.001
42,0.26763155135026395,63623.26015821688,0.001
43,0.25206218086838894,60083.50636696681,0.001
44,0.23747256334768918,57100.36476983192,0.001
45,0.22762438468903862,54536.87424716315,0.001
46,0.21893112636393025,51551.764646730066,0.001
47,0.2108534551205444,48281.08442516366,0.001
48,0.20376355638579716,45648.471208626346,0.001
49,0.19777050996293324,43522.4172347341,0.001
50,0.19298720760821952,41564.11567849651,0.001
51,0.18895485454533265,39819.43694506818,0.001
52,0.1848459384400091,38652.61883914276,0.001
53,0.18254539968034664,37401.02363151416,0.001
54,0.17880972686343294,36478.68249549872,0.001
55,0.17572176475534793,35680.762496755335,0.001
56,0.17294760616321497,35002.45667017423,0.001
57,0.16971698313653147,34401.558605251674,0.001
58,0.16700164005926355,33702.25273575788,0.001
59,0.16401433882613978,33050.86515304096,0.001
60,0.16133767482791025,32512.17790591025,0.001
61,0.1588202610364638,31881.033330457547,0.001
62,0.15644680101271252,31330.546417073827,0.001
63,0.15359786632074335,30909.467114079598,0.001
64,0.15103036341019524,30653.467054615874,0.001
65,0.14905933713174893,30213.454074405345,0.001
66,0.14626882400519575,30018.72405603561,0.001
67,0.14384669929871827,29738.683325300564,0.001
68,0.1420740230582805,29512.148126677683,0.001
69,0.13926167422462077,29402.628215210992,0.001
70,0.1368206109835472,29289.84489903379,0.001
71,0.1354350067149649,29253.24501417605,0.001
72,0.13292342770782878,28949.04547622996,0.001
73,0.13041687471937244,28915.995808902007,0.001
74,0.12871402227333217,29158.123042464314,0.001
75,0.126469462185367,29043.656222839232,0.001
76,0.12450286592282946,28914.703448351378,0.001
77,0.12301807365720234,28790.683109907448,0.001
78,0.12174807837257137,29359.60081764206,0.001
79,0.11977282855431261,29439.854904440763,0.001
80,0.11750679625491216,29586.10526787331,0.001
81,0.11598558106135798,29878.244647462037,0.001
82,0.113456447876205,29783.5353926018,0.001
83,0.11171111319224857,29923.09200244806,0.001
84,0.10936766161655935,29759.982502740935,0.001
85,0.10725156855090787,30322.937314717252,0.001
86,0.10498278890165244,30526.187122435706,0.001
87,0.10335735636084606,30575.37353460577,0.001
88,0.1010747043295625,29592.710304800265,0.001
89,0.09894770186012786,30554.758750072564,0.001
90,0.09751227799088064,30897.774408628164,0.001
91,0.09525964888481996,30660.020252754457,0.001
92,0.09326598549283191,30549.59356413794,0.001
93,0.09135329886776372,31386.25781076528,0.001
94,0.08998372892124785,31860.862634975347,0.001
95,0.08756827561972289,31560.964411557605,0.001
96,0.08630642266930612,31757.909176055342,0.001
97,0.08442099956717627,32271.53536462644,0.001
98,0.08168850373543939,31205.321039575203,0.001
99,0.08109752684670352,32235.98741713089,0.001
100,0.07871106247724038,31370.054321445798,0.001
101,0.07683518380571754,31514.877117256827,0.001
102,0.0749711665885273,31599.28043314418,0.001
103,0.0743260341081607,32095.62672480979,0.001
104,0.07218448577037492,31709.945182437532,0.001
105,0.07020752697048808,32564.524437099073,0.001
106,0.06892220349478419,31723.138976860944,0.001
107,0.06829177555433255,31864.484267279655,0.001
108,0.06538064448763636,31675.366809726605,0.001
109,0.06398112318393859,31993.947772409927,0.001
110,0.06284836083475882,31727.996359427067,0.001
111,0.0611336329165029,31694.45941567329,0.001
112,0.05955439350133678,31689.604996830436,0.001
