Epoca,Perdida_entrenamiento_transformada,RMSE_early_stopping,Learning_rate
1,0.4592914286070916,40504.42958855663,0.001
2,0.21690291932866,33758.702518177626,0.001
3,0.16961200620769423,30430.923290063507,0.001
4,0.1395538667536745,28807.238152903094,0.001
5,0.1247401950453525,27463.434522473726,0.001
6,0.11544158376355536,26270.473660452597,0.001
7,0.10512837612783754,26647.71201988941,0.001
8,0.09923076748439416,26280.158247812775,0.001
9,0.0965209977773877,24916.02074784059,0.001
10,0.08742598113086489,25279.86033993073,0.001
11,0.08463114190411258,24563.69967852976,0.001
12,0.0823494673667618,25137.31358627488,0.001
13,0.07607330965660351,25111.51300050054,0.001
14,0.07347425458815707,24853.791783546727,0.001
15,0.06484625616190151,24287.234897043956,0.001
16,0.061521088877829894,23921.287936572444,0.001
17,0.060999566363909886,24900.700447673633,0.001
18,0.05737715105903785,24537.09728525222,0.001
19,0.05344277581342457,24682.19695886652,0.001
20,0.05062783627756058,24616.248429084815,0.001
21,0.04943403426939447,24024.622608031234,0.001
22,0.04577721933421677,24202.194153345223,0.001
23,0.042758302115344725,23719.90255727279,0.001
24,0.03966164372829132,23967.631223212964,0.001
25,0.03735055663309787,24065.228017389214,0.001
26,0.03467474076466858,23566.103156010056,0.001
27,0.035164392848927827,23695.830993012405,0.001
28,0.03227224442865941,24074.727697494927,0.001
29,0.02990909040372007,24398.05403640342,0.001
30,0.029561632386748752,24107.619623233924,0.001
31,0.02658615933938159,24195.94008163869,0.001
32,0.026400462955419205,24388.339381891816,0.001
33,0.024192305088236735,24006.17717418721,0.001
34,0.023070395162159748,24616.4026749626,0.001
35,0.02455506500926455,24342.03202153398,0.001
36,0.022027223017523644,23917.988436690517,0.001
37,0.02072669379211543,23972.672424825316,0.001
38,0.020117485156608005,24039.998011072297,0.001
39,0.020511493567931017,24609.43403690178,0.001
40,0.02131637212286823,24104.14182588871,0.001
41,0.01918975024351052,24586.37753506064,0.001
42,0.02122450785235667,24066.539250957107,0.001
43,0.016341509423816705,24070.012387735474,0.001
44,0.015349413746696444,24192.66088456156,0.001
45,0.014183707896775928,24639.19498542905,0.001
46,0.01439204609994528,24033.238496317663,0.001
47,0.013811883579772961,24626.133850535352,0.001
48,0.014399943882693547,24660.09512898305,0.001
49,0.013441129426322716,24344.699421214547,0.001
50,0.013788001372614636,24375.609522310686,0.001
51,0.011632018939633604,24296.60898911549,0.001
52,0.012502068129581807,24846.975536061058,0.001
53,0.012600207056253504,24098.878939433922,0.001
54,0.010458711370782763,24799.10737665335,0.001
55,0.010178189334952814,24438.26751919214,0.001
56,0.010340160084149194,24548.238665137178,0.001
57,0.009358377960573715,24209.243896616677,0.001
58,0.009066102227994375,24299.96169672539,0.001
59,0.008735230067559392,24297.11683635383,0.001
60,0.00787732983478392,24281.458943395686,0.001
61,0.0077451277735225135,24971.060013980783,0.001
