Epoca,Perdida_entrenamiento_transformada,RMSE_early_stopping,Learning_rate
1,141.6941660813416,202027.04734776137,0.001
2,129.63049090063865,202026.0111978477,0.001
3,115.95357946238539,202023.66525137768,0.001
4,100.86188318277406,202017.93292701305,0.001
5,84.8856590259955,202002.7033927318,0.001
6,68.55941559367864,201957.8879296992,0.001
7,52.43277708459349,201812.01592771313,0.001
8,37.1133645743606,201289.7556340989,0.001
9,23.439191227538885,199174.83807495062,0.001
10,12.147162747969675,189918.07830223782,0.001
11,4.1802413237595175,145728.4876798092,0.001
12,0.43069368393824864,106369.18430433668,0.001
13,0.21471024288454899,56193.53191499545,0.001
14,0.057968495831475765,45052.498479982845,0.001
15,0.028147849471304248,30562.459226003426,0.001
16,0.021024180217693235,26899.709308044017,0.001
17,0.016668552195844705,25829.53339670876,0.001
18,0.01376144767519189,22812.332976079353,0.001
19,0.012180517337321372,24902.943655977197,0.001
20,0.01120114668276479,22732.039496256486,0.001
21,0.010447120819612798,23597.397818927973,0.001
22,0.009859372071878696,19747.860075503635,0.001
23,0.009485011113006972,21793.62911803298,0.001
24,0.009017070018795524,20717.636775112034,0.001
25,0.008619302653946122,20659.234451679826,0.001
26,0.00859195957642302,19882.947017577673,0.001
27,0.008414688038972629,21712.841733161906,0.001
28,0.008331509615670668,19562.165059409825,0.001
29,0.008108519872194951,22818.698730162087,0.001
30,0.008056775883767436,20039.81446603022,0.001
31,0.0077505335346532795,20679.40695268217,0.001
32,0.00784771195336551,19097.666600661803,0.001
33,0.007482645490008653,20350.92021714746,0.001
34,0.007458438720775151,21118.47604246138,0.001
35,0.007536055443352884,19710.172836678266,0.001
36,0.007775357812535228,22673.18713006076,0.001
37,0.0075966303240825915,19716.23817170068,0.001
38,0.007499918755408047,20242.373438901053,0.001
39,0.007486107433012615,20567.90216250446,0.001
40,0.00719949973857653,20725.14696330634,0.001
41,0.007271553525854813,20498.94865272948,0.001
42,0.007224123659456087,20359.304010243854,0.001
43,0.007113018771296558,20076.765222286776,0.001
44,0.0071522542464178916,20712.018719710675,0.001
45,0.00713831523309331,21538.315942676803,0.001
46,0.007297569143217914,20937.564978906146,0.001
47,0.007187944177845453,20840.68178857142,0.001
48,0.00720013889474673,21341.092597738305,0.001
49,0.0075274110002127815,19841.311946882484,0.001
50,0.007014215831522184,19988.33435558314,0.001
51,0.007259238805815944,20285.81456586784,0.001
52,0.006998682882523572,19977.213495074175,0.001
53,0.007229518679721354,24911.047368624993,0.001
54,0.007431184895897308,20927.931287501997,0.001
55,0.007171297515978344,20666.453341073357,0.001
56,0.007198117217844199,20241.940444397493,0.001
57,0.00692465580668295,19990.862418715667,0.001
58,0.007025465713584777,20448.438506903934,0.001
59,0.007283702062769064,20841.038874361315,0.001
60,0.007133840598764408,21439.669623794558,0.001
61,0.007020828612997869,21181.465223811767,0.001
62,0.007031215497665916,19719.318265259084,0.001
63,0.007026714115105731,21163.94517983243,0.001
64,0.006789852369727645,20605.807433491453,0.001
65,0.0068357199654198765,20832.809289563374,0.001
66,0.006850169025437014,20045.293641030483,0.001
67,0.00683705582028705,20696.349490081175,0.001
