Epoca,Perdida_entrenamiento_transformada,RMSE_early_stopping,Learning_rate
1,127.52369725170934,199430.11155578526,0.0003
2,105.32525188891918,199421.39809744622,0.0003
3,83.7225359081362,199390.09852396062,0.0003
4,62.39877678236748,199266.133740024,0.0003
5,42.94129859076606,198747.1755647474,0.0003
6,26.28370999808263,196454.13672452644,0.0003
7,13.663655663637543,186290.55985311704,0.0003
8,5.089037383617605,145520.2259192321,0.0003
9,1.2086257453776714,160727.38046053256,0.0003
10,0.8669387956202288,83206.17710958241,0.0003
11,0.755593031257778,83960.85763033116,0.0003
12,0.7296444451138054,66460.26576472215,0.0003
13,0.6570242592610666,66139.22429463439,0.0003
14,0.5490456940807822,58345.53687836318,0.0003
15,0.5742675640968361,61952.13546719871,0.0003
16,0.5584684415125055,54906.68455295276,0.0003
17,0.5850511179513918,52343.71150007267,0.0003
18,0.5148871561665556,49770.690934269565,0.0003
19,0.49922690883515375,49219.04780301701,0.0003
20,0.526988252330824,52406.20267333042,0.0003
21,0.475597358154184,49921.25024723159,0.0003
22,0.520710955278526,45119.9103386688,0.0003
23,0.5064939618282676,44109.73887814662,0.0003
24,0.4559725539336817,42453.3086887576,0.0003
25,0.5670669489952737,43867.26502897859,0.0003
26,0.4815562739860788,43075.43228303554,0.0003
27,0.5178161514613879,41878.089324182765,0.0003
28,0.5608411886303284,44145.94309732263,0.0003
29,0.5052968344045063,43775.01587445672,0.0003
30,0.5088926729185757,42088.04689951912,0.0003
31,0.47580018858888967,40650.52044646247,0.0003
32,0.536841675230607,41782.369887607325,0.0003
33,0.5564433949936348,40020.13902258539,0.0003
34,0.4702869915170931,39555.0595093798,0.0003
35,0.48910660489124996,41654.786066001514,0.0003
36,0.4965840187595692,39728.77137138652,0.0003
37,0.46419575859887946,36337.2861728158,0.0003
38,0.4805234488298711,37610.72434838762,0.0003
39,0.46251030401750043,36602.74028675373,0.0003
40,0.4637919421405847,37961.61616774048,0.0003
41,0.4784015632983066,46108.55262795201,0.0003
42,0.47907445466879645,37628.15239454058,0.0003
43,0.4820805876630037,47671.56799469549,0.0003
44,0.4307311346692612,38962.608437138755,0.0003
45,0.4816980847462603,35325.81820076113,0.0003
46,0.422167921307111,35934.44947851046,0.0003
47,0.5295128971983344,34564.766721277905,0.0003
48,0.45617540939717754,38662.60797518877,0.0003
49,0.45000073305112115,35684.342444333975,0.0003
50,0.4191712729342572,35392.121568095274,0.0003
51,0.4123173903077196,39373.87503138396,0.0003
52,0.4097350050532629,33732.09439414296,0.0003
53,0.4817267463664816,35755.59725169021,0.0003
54,0.4592347512126485,33885.31300778525,0.0003
55,0.43988222606254346,33806.78767587844,0.0003
56,0.3960773115722304,34350.53353900252,0.0003
57,0.48955910602345265,34425.5771934117,0.0003
58,0.4508262330835516,34856.17412527714,0.0003
59,0.4469840167490779,40266.07282167171,0.0003
60,0.4059237197880105,34927.476506094725,0.0003
61,0.48252776376956813,37605.533514566196,0.0003
62,0.46870337729846245,39028.21073783014,0.0003
63,0.39659007790284756,38629.95787971874,0.0003
64,0.46000495849749745,33696.40713028473,0.0003
65,0.4704187454771342,31804.656293342905,0.0003
66,0.4699685055370111,35519.99619142678,0.0003
67,0.4080383100292899,33532.43484470958,0.0003
68,0.429675450744739,35220.05350738231,0.0003
69,0.41920702380879443,31228.7243578667,0.0003
70,0.4534625683253978,42852.64992176513,0.0003
71,0.48999585396197626,32432.780523148765,0.0003
72,0.4017315811409063,33539.925652286,0.0003
73,0.4686870973605614,32429.91259379227,0.0003
74,0.4286492566697697,33294.47720886651,0.0003
75,0.45139607800033704,30213.55846771709,0.0003
76,0.4564430382086601,31250.523187993906,0.0003
77,0.46336404826561955,31252.41586846413,0.0003
78,0.41135294058106164,32340.94845991496,0.0003
79,0.4747052341484576,34317.206447798955,0.0003
80,0.45642339469378473,32765.517194710963,0.0003
