Epoca,Perdida_entrenamiento_transformada,RMSE_early_stopping,Learning_rate
1,141.83537639170757,202026.4103872867,0.0003
2,120.34056430270117,202022.94577700386,0.0003
3,99.88795226079165,202012.21425678674,0.0003
4,80.16487201077894,201978.04841008905,0.0003
5,62.278140618728656,201864.64722223347,0.0003
6,45.917838161485065,201492.3012183186,0.0003
7,32.366461454355594,200261.4506478144,0.0003
8,20.53268457597658,196225.85100606896,0.0003
9,11.485803845649862,183384.29019667805,0.0003
10,5.281595047234454,147590.01323660795,0.0003
11,1.9374769055722592,142247.81865000344,0.0003
12,1.041449000624948,114253.91854592363,0.0003
13,0.9401044214168609,81180.40166748058,0.0003
14,0.8386615521655931,75869.14332121445,0.0003
15,0.8450183601006758,69060.46010925689,0.0003
16,0.8494893900737404,69281.18002705308,0.0003
17,0.758282880620915,62380.82811899089,0.0003
18,0.7796281750830141,58812.790138549884,0.0003
19,0.6748384210549284,57138.84231614661,0.0003
20,0.7748889586687433,55298.395747470655,0.0003
21,0.7426799240747167,59371.91661205705,0.0003
22,0.636542795794745,52586.69716462948,0.0003
23,0.6756568315577749,51545.64329767733,0.0003
24,0.7357588290478144,51182.59582286753,0.0003
25,0.7565287636261427,46619.15007044959,0.0003
26,0.636934176583366,47269.10091328796,0.0003
27,0.6861085750259642,44569.68196231193,0.0003
28,0.6933569678263105,45683.0463005913,0.0003
29,0.7020570746206513,46228.69220846787,0.0003
30,0.6028326625589352,42739.86457358153,0.0003
31,0.5622475268009257,42957.26600581621,0.0003
32,0.6133361234506202,40529.611936441666,0.0003
33,0.6006209161105618,43475.942947456664,0.0003
34,0.6368066101791889,37874.35660822619,0.0003
35,0.5971206077273433,37801.090775793215,0.0003
36,0.6407082164511839,37566.67893538969,0.0003
37,0.6049981738309956,42321.84819376355,0.0003
38,0.5965798451482991,44943.13072568121,0.0003
39,0.623102715365621,38032.42310937253,0.0003
40,0.6349506198756084,37406.303981542456,0.0003
41,0.5279296174235696,48373.26331172522,0.0003
42,0.6150462866347018,29858.42842603205,0.0003
43,0.6128505195791573,35072.1041588913,0.0003
44,0.5791477581267764,36563.26959086995,0.0003
45,0.6324380901891484,31535.972032585014,0.0003
46,0.576914633967942,29991.01657708033,0.0003
47,0.6880152751671422,34363.816414908484,0.0003
48,0.6547928836342223,35288.905849426264,0.0003
49,0.47593690379483655,37136.731680595054,0.0003
50,0.5431748814072174,36466.43838939612,0.0003
51,0.6010268540182265,33303.518031715255,0.0003
52,0.550823724563146,29061.695448978277,0.0003
