Epoca,Perdida_entrenamiento_transformada,RMSE_early_stopping,Learning_rate
1,143.03758727762357,202027.29514842614,0.0003
2,137.3363867399489,202026.9759988686,0.0003
3,131.41215448890168,202026.52384514973,0.0003
4,125.06468505417732,202025.87729134277,0.0003
5,118.4142162361642,202024.93932386683,0.0003
6,111.5893960226807,202023.5882639299,0.0003
7,104.70068869473448,202021.62266026487,0.0003
8,97.8133710538254,202018.7575365195,0.0003
9,90.96194046175083,202014.55523484427,0.0003
10,84.18112089872015,202008.31805151748,0.0003
11,77.49613478973875,201998.85281677276,0.0003
12,70.90926696733179,201984.6297260095,0.0003
13,64.45634302009549,201962.70074826933,0.0003
14,58.15329115297618,201928.72188842503,0.0003
15,51.999936519241885,201875.65075522175,0.0003
16,46.05071709021473,201791.45831395022,0.0003
17,40.32550457348527,201655.87941431135,0.0003
18,34.82750137704499,201435.44502241584,0.0003
19,29.6298745261605,201073.7338673132,0.0003
20,24.709160957943684,200477.79468339213,0.0003
21,20.150002373282714,199483.879673329,0.0003
22,15.957980880516482,197770.699721333,0.0003
23,12.176468044562554,194863.43102603534,0.0003
24,8.833769304880013,189823.3508106506,0.0003
25,5.972067213955561,181075.22766690963,0.0003
26,3.6299412443737906,166165.86980209846,0.0003
27,1.8490959623270546,140528.02785028474,0.0003
28,0.6681725502704229,99947.3310552305,0.0003
29,0.13237344826182132,78998.65993756124,0.0003
30,0.07354149658518659,64512.23137830613,0.0003
31,0.040387214594096076,57802.78172337134,0.0003
32,0.03241049889987267,49679.46410572272,0.0003
33,0.026566932082995664,46932.40002626512,0.0003
34,0.022879085707034803,43375.27142249099,0.0003
35,0.020520151057718632,39921.13009203725,0.0003
36,0.01871518505260068,37933.797874037315,0.0003
37,0.017295666591583735,35691.67888375823,0.0003
38,0.01636993639742586,34213.256393304546,0.0003
39,0.015325406930165422,33111.44573600202,0.0003
40,0.014594526356288303,31306.709679505286,0.0003
41,0.013918348189103707,30755.365206991504,0.0003
42,0.013273927079872181,29845.23202442959,0.0003
43,0.012792095052706436,28850.680229915823,0.0003
44,0.012325917452832551,28756.348452892114,0.0003
45,0.011990257456639914,27509.869798415864,0.0003
46,0.0116014406516307,26859.02227480975,0.0003
47,0.011214424431453393,26521.390326194552,0.0003
48,0.010894804473227772,26534.409740209227,0.0003
49,0.010686096756863266,25659.327633409368,0.0003
50,0.010423891050889334,25740.01798768755,0.0003
51,0.010175825708563267,25137.432352409745,0.0003
52,0.009920263606327142,24699.377119226116,0.0003
53,0.009758842941211852,24564.513842838493,0.0003
54,0.009548101479163348,24498.580423404306,0.0003
55,0.009437514587632999,23946.83047863768,0.0003
56,0.00926412233621874,23818.010202471083,0.0003
57,0.009158559839002649,23172.143315693003,0.0003
58,0.008990500978155092,22974.26621411072,0.0003
59,0.008848000209314907,23105.0449988181,0.0003
60,0.008734390082298718,22535.23981054617,0.0003
61,0.008642326731790079,22571.42574802586,0.0003
62,0.008544900942480598,22172.127533025512,0.0003
63,0.008501052776925729,22492.670932205194,0.0003
64,0.008347581866481671,22046.594169694145,0.0003
65,0.008269982562736,22264.64668052857,0.0003
66,0.008235602147672352,22046.88731928806,0.0003
67,0.00809227011615327,21252.892064570777,0.0003
68,0.008113002392440474,21695.213241265126,0.0003
69,0.007970551853694895,21287.58265399199,0.0003
70,0.00793094415077468,21741.748149588017,0.0003
71,0.007856867627231283,21115.21101458429,0.0003
72,0.007747536817600603,21410.911979534572,0.0003
73,0.007760936767671543,20599.767725797406,0.0003
74,0.007710357871871609,21873.596836156874,0.0003
75,0.00762054318152422,20512.837172297037,0.0003
76,0.007548726732571718,21268.71974025093,0.0003
77,0.007482999745707868,20648.465040877567,0.0003
78,0.0074578873730937155,21169.865511441,0.0003
79,0.007483940719803404,20566.71450041715,0.0003
80,0.007381963317839135,20968.605725126497,0.0003
81,0.007348488609935932,20818.211296675683,0.0003
82,0.0072588445753527615,20407.39872420732,0.0003
83,0.007265668292294017,20595.542800662875,0.0003
84,0.007274434159141891,20638.84647803088,0.0003
85,0.007239226007216789,20422.486533767304,0.0003
86,0.007158181068720633,20353.50664861215,0.0003
87,0.0071485713151231,20228.2973143626,0.0003
88,0.00715661315077595,20163.764221345973,0.0003
89,0.007062096639998613,20825.91370056738,0.0003
90,0.007100391296020206,20259.363805079538,0.0003
91,0.00703113175343652,20290.9990737156,0.0003
92,0.007033901848438076,19983.779938303094,0.0003
93,0.006957007774223294,20808.798482929364,0.0003
94,0.006913145265492102,20582.62468459526,0.0003
95,0.00683962126422873,20730.70670521639,0.0003
96,0.006814550171712718,20674.803943645846,0.0003
97,0.00680683094936702,20377.08563194369,0.0003
98,0.0068189224306434695,20646.46382248603,0.0003
99,0.006808471537765261,20349.41376901334,0.0003
100,0.006747378371305516,20858.61351813736,0.0003
101,0.006776217707498848,20543.227254752215,0.0003
102,0.0067054140502816086,20844.31629870531,0.0003
103,0.006767831086390012,20470.28650916911,0.0003
104,0.006707378442085169,21076.513275226876,0.0003
105,0.006630949079639962,20644.670785373644,0.0003
106,0.006612123489547009,20706.524358545787,0.0003
107,0.006597516813629486,20764.759181414098,0.0003
108,0.006610700099118453,20767.170624844475,0.0003
109,0.00653017220166869,20996.382633248762,0.0003
110,0.006528544021020987,20286.663145538554,0.0003
111,0.006543598653325425,22156.63018715364,0.0003
112,0.006547485511243214,20736.380985380543,0.0003
